That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
If it wasn't nailed to the sidewalk, it would be pushing up the daisies. Incidentally, if you're wondering what happens to Chester Field as a result of what happens in this story: He went to Illinois and opened up a store there. They also made him Town Marshal, and he adjusted the name of his store accordingly.	If it wasn't nailed to the sidewalk, it would be pushing up the daisies. Incidentally, if you're wondering what happens to Chester Field as a result of what happens in this story: He went to Illinois and opened up a store there. They also made him Town Marshal, and he adjusted the name of his store accordingly.
That's right! He called it, "Marshal Field's." (Gaak! Ptooey! Hork!)	That's right! He called it, "Marshal Field's." (Gaak! Ptooey! Hork!)
The General Store looks closed. Maybe it's your keen intuition. Maybe it's that razor-sharp second sense you have. Maybe it's that "closed" sign on the door that you'd trip over if it were any bigger.	The General Store looks closed. Maybe it's your keen intuition. Maybe it's that razor-sharp second sense you have. Maybe it's that "closed" sign on the door that you'd trip over if it were any bigger.
Chester Field's is closed at night.	Chester Field's is closed at night.
If you pushed this door, it might open.	If you pushed this door, it might open.
You can't take it, it's been specially designed to blend in with Coarsegold's unique and progressive skyline.	You can't take it, it's been specially designed to blend in with Coarsegold's unique and progressive skyline.
This sign says, "Chester Field's Mercantile Co." It may indicate there's a store inside this building.	This sign says, "Chester Field's Mercantile Co." It may indicate there's a store inside this building.
You consider writing "wash me" in the dust in the window, but you're way too mature for that.	You consider writing "wash me" in the dust in the window, but you're way too mature for that.
You just love to window-shop through windows so dirty you can't see through them. Maybe you should give Chester some window cleaner for Christmas.	You just love to window-shop through windows so dirty you can't see through them. Maybe you should give Chester some window cleaner for Christmas.
With superhuman effort, you lift the wagon and rescue the little girl who was trapped underneath for God-knows-how-long.	With superhuman effort, you lift the wagon and rescue the little girl who was trapped underneath for God-knows-how-long.
Chester Field has been unloading this wagon since last winter.	Chester Field has been unloading this wagon since last winter.
The pharmacy door is locked. This ain't Mayberry, pardner!	The pharmacy door is locked. This ain't Mayberry, pardner!
It's the door to your pharmacy.	It's the door to your pharmacy.
I knew that!	I knew that!
You unlock the door. Ta-daa! You're halfway through the game.	You unlock the door. Ta-daa! You're halfway through the game.
You cleverly lock the door.	You cleverly lock the door.
You unlock the door.	You unlock the door.
Dang it, no points this time.	Dang it, no points this time.
That's the wrong key for this door.	That's the wrong key for this door.
Whoops! Wrong key!	Whoops! Wrong key!
That's not the right key for the Pharmacy door!	That's not the right key for the Pharmacy door!
You added this hitch a few years ago, out of necessity. As they said when you moved in, "You'll never get this pharmacy off the ground without a hitch."	You added this hitch a few years ago, out of necessity. As they said when you moved in, "You'll never get this pharmacy off the ground without a hitch."
You can yank on that hitchin' post all you want, but you won't get it up. (You may, however, get a hernia.)	You can yank on that hitchin' post all you want, but you won't get it up. (You may, however, get a hernia.)
The Sheriff must be out. Where could he be? It's over 550 miles to the nearest Dunkin' Donuts!	The Sheriff must be out. Where could he be? It's over 550 miles to the nearest Dunkin' Donuts!
The door to Sheriff Checkum P. Shift's office. The office also contains a small jail cell, just big enough to hold one or two innocent bystanders.	The door to Sheriff Checkum P. Shift's office. The office also contains a small jail cell, just big enough to hold one or two innocent bystanders.
The Sheriff's window. Not very good at keeping out the rain, but at least nobody's liable to break in. 'Course, who'd wanna break IN?	The Sheriff's window. Not very good at keeping out the rain, but at least nobody's liable to break in. 'Course, who'd wanna break IN?
The bars are set solidly in the mortar. Give it up!	The bars are set solidly in the mortar. Give it up!
This was Coarsegold's opera house, P.P.'s Playhouse. It was shut down by unpopular demand several months ago, after the owner was found necking with a lamb during a performance of "Ba-aa-aa-bette's Feast."	This was Coarsegold's opera house, P.P.'s Playhouse. It was shut down by unpopular demand several months ago, after the owner was found necking with a lamb during a performance of "Ba-aa-aa-bette's Feast."
Leave it to the wrecking crew.	Leave it to the wrecking crew.
The sign says "Tall & Thin Shop." And hey, it's right! That's just about the tallest and thinnest shop you've ever seen!	The sign says "Tall & Thin Shop." And hey, it's right! That's just about the tallest and thinnest shop you've ever seen!
Leave the sign alone. Let it serve as a reminder to other shopkeepers who would incur the wrath of the good citizens of Coarsegold.	Leave the sign alone. Let it serve as a reminder to other shopkeepers who would incur the wrath of the good citizens of Coarsegold.
The Tall & Thin shop. The owner narrowly escaped with his life once when he was discovered shortchanging customers.	The Tall & Thin shop. The owner narrowly escaped with his life once when he was discovered shortchanging customers.
This place is boarded up tighter than a sheep's heinie on the Ponderosa.	This place is boarded up tighter than a sheep's heinie on the Ponderosa.
The sign says "PP's Playhouse." Or it used to, anyway. Now it looks more like "PP's dlayhous."	The sign says "PP's Playhouse." Or it used to, anyway. Now it looks more like "PP's dlayhous."
You can barely reach that first letter, but even so, you don't feel like taking a big "p" right now.	You can barely reach that first letter, but even so, you don't feel like taking a big "p" right now.
This is your pharmacy, your home, the center of your universe. The Pharkas Pharmacy. You envision a day when there'll be a string of Pharkas Pharmacy phranchises phrom coast-to-coast.	This is your pharmacy, your home, the center of your universe. The Pharkas Pharmacy. You envision a day when there'll be a string of Pharkas Pharmacy phranchises phrom coast-to-coast.
You don't have room in your pockets for an entire pharmacy.	You don't have room in your pockets for an entire pharmacy.
This is Sheriff Checkum P. Shift's jail and armory. The Sheriff does a mighty fine job of infiltrating the criminal element in town. In fact, he IS the foremost criminal element in town.	This is Sheriff Checkum P. Shift's jail and armory. The Sheriff does a mighty fine job of infiltrating the criminal element in town. In fact, he IS the foremost criminal element in town.
It's the most solidly-built structure in town.	It's the most solidly-built structure in town.
You opted for a Colonial-style pharmacy.	You opted for a Colonial-style pharmacy.
You give a resounding thump to the columns. The termites hold their collective breath. The columns seem to be holding! (You and the termites heave a sigh of relief.)	You give a resounding thump to the columns. The termites hold their collective breath. The columns seem to be holding! (You and the termites heave a sigh of relief.)
These remnants of the Coarsegold depot are all tumbledown and shot.	These remnants of the Coarsegold depot are all tumbledown and shot.
This clutter is a local landmark, and as such is protected under the Eastern Madera County "Don't Touch That, It's A Landmark" Act of 1855.	This clutter is a local landmark, and as such is protected under the Eastern Madera County "Don't Touch That, It's A Landmark" Act of 1855.
